Number,Year,Date,State,Sublocation,Location,Lat,Long,Description,Source,Type,Rioter Classification,Target Classification,Actions,Recorded # Killed,Recorded # Injured,Persons Named as Rioters,Persons Named as Targets,Note
1,1854,1854/12,Texas,Fannin,"Fannin, TX",28.6963,-97.23558,Hanging of enslaved woman for alleged murder of mistress and mistress's two children,"Frederick Law Olmstead, The Cotton Kingdom: A Traveler's Observations on Cotton and Slavery in the American Slave States (New York: Alfred A. Kopf, 1953; repr., New York: Da Capo Press, 1996), 303 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Woman; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
2,1854,1854/05,Massachusetts,Boston,Boston,42.350273,-71.060098,"May: Large crowd attempts to break into the courthouse to free fugitive slave Anthony Burns. During the attempt, some shots fired, killing one of the deputies.","""The Case of the Courthouse Riot,""Journal of Negro History, 56 (1971), p.31-42",Slavery; Racial; Law,Anti-Slavery; Abolitionist,Legal; Law Officer,Lethal Violence; Extraction,1,,,,
3,1854,1854/08,Missouri,St. Louis,St. Louis,38.663531,-90.278251,"August: Nativist riot lasting several days. Claim that an Irishman stabbed an American in the back led to Nativist attack on Irish neighborhood. 50-60 houses destroyed with axes, etc. Irish fought back. 8-10 killed, many injured. Began August 7th, election day.","McMaster, p.8,87; Billington, p.421",Ethnic/National; Religious,American; Nativisit; Protestant,Irish; Catholic,Lethal Violence; Property Destroyed; Non-Lethal Violence,,,,,
4,1854,1854/11,California,Los Angeles,Los Angeles,34.022624,-118.367045,November: Two murderers sentenced separately to hanging. The Anglo was given a stay; the Mexican was hanged immediately. Mexicans angered at this difference in treatment stormed the jail and lynched the Anglo.,"Bleen. ""Vigilantism,"" p.20-21",Racial; Law; Ethnic/National; Religious; Vigilante,Mexican; Vigilante; Hispanic; Catholic,American; Prisoner; Protestant; Anglo; Legal; Jail,Lethal Violence,1,,,,
5,1854,1854/02,California,Angle,"Angle, CA",37.34968,-119.57638,"February: On the 11, Dollores and an unknown Mexican lynched for the alleged murder of an Anglo. Their bodies were left hanging from the tree to decompose.","Columbia Gazette, 25 Feb. 1854 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Woman,Lethal Violence,2,,,Dollores,PTH
6,1854,1854/02,Wisconsin,Waushara Co.,"Waushara Co., WI",44.10971,-89.24131,February: Hanging of Frederick Cartwright for alleged murder,"Oshkosh Democrat, March 3, 1854; Milwaukee Daily Sentinel, Marh 6, 1854 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law,Vigilante,Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Frederick Cartwright,PTH
7,1854,1854/04,Washington,Puget Sound,Puget Sound,47.67299,-122.37011,April: Unnamed Native man hanged for alleged murder.,"Pioneer and Democrat (Olympia), April 8, 1854 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law; Racial,Vigilante; White,Native; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
8,1854,1854/07,California,San Vicente Rancho,"San Vicente Rancho, CA",37.30105,-121.8346,"July: On the 21st, Nemesio Berreyesa taken from his home and lynched for alleged murder.","Boessenecker, Gold Dust as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Seized Person(s); Lethal Violence,1,,,Nemesio Berreyesa,PTH
9,1854,1854/08,California,Drytown,"Drytown, CA",38.4407,-120.8542,"August: On the 25th, an unnamed Mexican man lynched with a log-chain for the alleged murder of a Chinese miner.","Nevada Journal (Nevada City) , 8 Sept 1854 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
10,1854,1854/08,Alabama,Mount Meigs,"Mount Meigs, Montgomery Co.",32.3631,-86.1016,August: Burning of enslaved man for allegedly murdering master,"James Benson Sellers, Slavery in Alabama (1940; repr., Tuscaloosa: University of Alabama Press, 1994), 262-262 from Pfeifer, Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
11,1854,1854/09,California,Monterey,"Monterey, CA",36.60231,-121.89565,"September: On the 2nd, vigilance committee hangs José Higuera for alleged murder of an Anglo constable.","Gonzales-Day, Lynching in the West as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; Vigilance Committee; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,José Higuera,PTH
12,1854,1854/10,Maryland,Denton,"Denton, Caroline Co., MD",38.8844,-75.82895,"October: Dave Thomas, a free black man, hanged for alleged murder","Baltimore Republican and Argus, October 10, 1854",Racial; Vigilante; Law,White; Vigilante,Black; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Dave Thomas,PTH
13,1854,,California,San Luis Obispo,"San Luis Obispo, CA",35.2807,-120.6605,"Late: Mateo Andrade, an alleged thief, lynched after escaping from San Quentin on the 29th of July.","Gonzales-Day, Lynching in the West as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,1,,,Mateo Andrade,PTH
1,1855,1855/01,California,San Joaquin river in Contra Costa County,"Contra Costa Co., CA",37.95884,-122.03331,"January: On the 22nd, a vigilance committee hangs Salvador Valdéz and two unknown Chileans for alleged theft.","San Francisco Daily Placer Times, 27 Jan., 1855",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; Vigilance Committee,Mexican; Chilean; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,3,,,Salvador Valdéz,PTH
2,1855,,Tennessee,La Grange,"La Grange, TN",35.04635,-89.24406,Hanging of enslaved boy belonging to William Turner for alleged murder of overseer,"Waldrep, ed. Lynching in America, 74 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Youth; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
3,1855,1855/03,New Mexico,Doña Ana,"Doña Ana, NM",32.39009,-106.81521,"March: Four unknown Mexicans taken from jail and lynched ""for robbing an Anglo clerk and 'abusing' his wife.""","Sante Fe Weekly Gazette, 31 Mar. 1855 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief; Alleged Assailant; Legal; Jail,Lethal Violence; Extraction; Seized Person(s),4,,,,PTH
4,1855,1855/04,California,Jesus Maria,"Jesus Maria, CA",38.28579,-120.64723,"April: On the 22nd, Justo Betancour taken from magistrate's office and lynched.","Georgetown Weekly News, 10 May 1855 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Legal; Magistrate,Lethal Violence; Extraction; Seized Person(s),1,,,Justo Betancour,PTH
5,1855,1855/04,Ohio,Cincinatti,"Cincinnati, Ohio",39.105032,-84.517971,"April: Nativist election riots. On the 2nd a mob of 300-400 nativists invade German area and destroyed 1,300 German ballots because of reported ballot stuffing. Intermittent attacks on Germans and Irish followed. German barricaded the streets in the Over-the-Rhine area. When 400 nativists invaded on the night of the 3rd the Germans were well organized and trained, beat them back. Killing two. Scattered violence continued through the 4th.","Ross.Workers, p.188-189",Ethnic/National; Religious; Political,American; Nativisit; Political,Irish; Catholic; German; Political,Lethal Violence; Non-Lethal Violence; Threat; Property Destroyed,2,,,,
6,1855,1855/04,Illinois,Chicago,Chicago,41.85109,-87.66589,"April: Demonstration against tavern licensing. Germans objected to the measure. Police broke up 1st demonstration, but when the Germans returned prepared for a confrontation a riot broke out. One German killed; one peace officer had his arm blown off by a shotgun.","Johnson. (??), p.32",Ethnic/National; Law,German,Legal; Law Officer,Lethal Violence; Non-Lethal Violence,1,1,,,
7,1855,1855/05,Texas,El Paso,"El Paso, TX",31.77285,-106.46437,"May: Four unknown Mexicans lynched for '""outrage on a family.'""","New York Times, 12 May 1855 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Rapist,Lethal Violence,4,,,,PTH
8,1855,1855/08,California,Drytown,"Drytown, CA",38.4407,-120.8542,"August: On the 7th, a vigilance committee hanged Trancolino, Puertovino, and José for alleged murder.","Empire County Argus (Coloma), 11 Aug. 1855 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; Vigilance Committee,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,3,,,Trancolino; Puertovino; José,PTH
9,1855,1855/08,California,Texas Bar,"Texas Bar, CA",40.65082,-122.94344,"August: On the 10th, Manuel Castro ""Taken from law officers and hanged.""","Secrest, ""Revenge of Rancheria"" as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Legal; Police,Lethal Violence; Extraction; Seized Person(s),1,,,Manuel Castro,PTH
10,1855,1855/08,California,Jackson,"Jackson, CA",38.35064,-120.77226,"August: On the 15th, Rafael Escobar taken from law officers and lynched in front of a large crowd.","Autobiography of Charles Peters as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Legal; Police,Lethal Violence; Extraction; Seized Person(s),1,,,Rafael Escobar,PTH
11,1855,1855/08,California,Gopher Flat,"Gopher Flat, CA",38.39744,-120.80025,August: Unknown Mexican lycnhed for alleged murder.,"Secrest, ""Revenge of Rancheria"" as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
12,1855,1855/08,California,Drytown,"Drytown, CA",38.4407,-120.8542,"August: A posse, which was seeking suspects in the Rancheria murders, hanged Manuel García and at least six other, unknown Mexicans.","Los Angeles Star, 25 Aug. 1855 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,7,,,Manuel García,PTH
13,1855,1855/08,Maryland,Baltimore,Baltimore,39.293324,-76.615924,August: Fire companies battle; 2 men killed.,"Greenberg.Cause for Alarm, p.93",Firefighter,Firefighter,Firefighter,Lethal Violence,2,,,,
14,1855,1855/08,Alabama,Montgomery Co.,"Montgomery Co., Alabama",32.334691,-86.254504,"August: A slave clubbed a master to death, a Dr. MacDonald, in retaliation for punishment. The slave gave himself up. The whites in the neighborhood, however, becamse so agitated that they burned the slave alive the next day. Subsequently, the whites took up a collection to reimburse the MacDonald family for the cost of the slave.","Howington. ""Violence,""Alabama Rev, 27 (1974), p.227",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Murderer; Alleged Criminal,Lethal Violence; Mutilation,1,,,,
15,1855,1855/08,Kentucky,Louisville,"Louisville, Kentucky",38.248802,-85.731141,"August: Nativist mob with knives, muskets, and cannon sought to attack a Catholic church. The mayor dissuaded them, but the nativists attacked Irish neighborhood, burning down houses. In the fighting between the two sidse, at least 20 killed.","Billington, p.421; Myers.History of Bigotry, [.199",Ethnic/National; Religious,American; Nativisit,Irish; Catholic; Religious; Church,Lethal Violence; Property Destroyed; Threat,20,,,,
16,1855,1855/08,Maryland,Baltimore,Baltimore,39.293324,-76.615924,"August: Fire company riot. New Market and United Company planned an ambush of Mount Vernon Hook and Ladder Company. After a false alarm set by New Market, that company followed the Mount Vernon on its return. Some skirmishing occurred. But on Franklin street between Howard and Eutaw streets, the United attacked from the front. Pistols, bricks, axes, picks, and hooks used as Mount Vernon aided by the police drove off the assailants. Two mortally wounded, several others hurt.","Scharf.Chronicles, p.548",Firefighter,Firefighter; New Market and United,Firefighter; Mount Vernon; Legal; Law Officer,Lethal Violence; Non-Lethal Violence,2,,,,
17,1855,1855/05,Alabama,Sumter Co.,Sumter Co.,32.64802,-88.20976,May: Burning of black man for alleged murder and rape,"New York Times, June 2, 1855; Sellers, Slavery in Alabama, 263 from Pfeifer, Roots of Rough Justice.",Racial; Vigilante; Law,White; Vigilante,Black; Alleged Murderer; Alleged Criminal; Alleged Sexual Assailant,Lethal Violence; Mutilation,1,,,,PTH
18,1855,1855/07,California,Los Angeles,Los Angeles,34.022624,-118.367045,"July: A deputy constable shot a Mexican while seizing his guitar for debt. Natives rose in revolt, so Anglos organized their own committees. Some 11 prisoners given death sentences by summary court.","Blew. ""Vigilantism,"" S. Cal Q., 54 (1972) 22",Vigilante; Law; Racial; Ethnic/National; Religious,White; Anglo; Vigilante; Vigilance Committee,Mexican; Hispanic; Catholic,Lethal Violence,11,,,,
19,1855,1855/07,Wisconsin,Janesville,"Janesville, Rock Co., WI",42.67413,-89.02876,July: Hanging of David F. Mayberry for alleged murder.,"Democrat Standard (Janesville), July 12, 1855; Janesville Gazette, July 14, 1855 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law,Vigilante,Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,David F. Mayberry,PTH
20,1855,1855/08,Wisconsin,West Bend,"West Bend, Washington Co., WI",43.42521,-88.18646,August: Hanging of George DeBar for alleged murder.,"Milwaukee Daily Free Democrat, August 8, 1855; Milwaukee Daily News, August 8, 1855 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law,Vigilante,Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,George DeBar,PTH
21,1855,1855/08,Alabama,Clayton,"Clayton, Barbour Co.",31.87765,-85.45056,August: An enslaved man named Bob lynched by hanging,"Sellers, Slavery in Alabama, 263-264 as listed in Pfeifer, Roots of Rough Justice.",Slavery; Racial; Vigilante; Law,White; Vigilante,Black; Slave,Lethal Violence,1,,,Bob,PTH
22,1855,1855/09,Tennessee,Sparta,"Sparta, TN",35.92518,-85.46375,September: A riotous mob broke into a jail and lynched an enslaved man accused of rape and murder. ,"Waldrep, ed. Lynching in America, 74 as listed in Pfeifer, The Roots of Rough Justice and Weekly Law Gazette 4 (1859): 122-124.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Murderer; Alleged Sexual Assailant; Legal; Jail,Lethal Violence,1,,,,PTH
23,1855,1855/10,California,Hill's Ferry,One Mile From Hill's Ferry,37.34855,-120.97997,"October: On the 19th, a vigilance committee hanged Francisco Tapia, Jesus Pino, Francisco Sanchez, and an unknown German for alleged theft.","New York Times, 29 Nov. 1855 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; Vigilance Committee,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief; German,Lethal Violence,4,,,Francisco Tapia; Jesus Pino; Francisco Sanchez,PTH
24,1855,1855/10,Missouri,Carroll Co.,"Carroll Co., Missouri",39.40212,-93.47655,"October: ""Slave of Judge Thomas Clingman"" hanged for alleged murder of master","New York Times, October 16, 1855 as listed in Pfeifer, The Roots of Rough Justice.",Slavery; Racial,White,Black; Slave,Lethal Violence,1,,,,PTH
25,1855,1855/12,Texas,Corpus Christi,Corpus Christi,27.74044,-97.40196,"December: On the 1st, an unknown Mexican taken from jail and hanged for alleged murder.","San Antonio Ledger, 22 Dec. 1855 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Legal; Jail,Lethal Violence; Seized Person(s); Extraction,1,,,,PTH
26,1855,1855/12,California,Snelling,Snelling,37.51972,-120.4382,"December: On Christmas Eve, an unknown Mexican was siezed from Law Officer and lynched for alleged cattle theft. ","San Francisco Daily Placer Times, 30 Dec., 1855 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief; Legal; Law Officer,Lethal Violence; Seized Person(s); Extraction,1,,,,PTH
1,1856,1856/01,Kansas,Kikapoo,"Kikapoo, Kansas",39.379747,-94.939369,"January: When local pro-slavery rangers heard what happened at Easton, they captured free-soil captain Reese Brown. While they debated whether they should try him before killing him, one of the Rangers put an axe into Brown's skull. They deposited his body at his farm's door.","Nichols.Bleeding Kansas, p.82-83",Slavery; Vigilante; Racial; Land; Political,Pro-Slavery; Border Ruffian; Vigilante,Free-Soiler; Anti-Slavery; Free-Stater,Lethal Violence,1,,,Reese Brown,
2,1856,1856/01,Kansas,Easton,"Easton, Kansas",39.345008,-95.119207,January: Free-soil election disrupted by pro-slave forces. Taunts led to threats and exchange of shots. A southerner was killed.,"Nichols.Bleeding Kansas, p.82",Slavery; Racial; Political; Vigilante; Land,Pro-Slavery; Border Ruffian,Free-Soiler; Anti-Slavery; Free-Stater,Threat; Lethal Violence,1,,,,
3,1856,1856/02,Illinois,Charleston,"Charleston, Coles Co.",39.49302,-88.17553,February: Hanging of A.F. Monroe for alleged murder,"New York Times, February 22, 1856 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law,Vigilante,Alleged Murderer,Lethal Violence,1,,,A.F. Monroe,PTH
4,1856,1856/02,California,Los Angeles,Los Angeles,34.022624,-118.367045,February: Crowd took Mexican prisoners - one a bandit involved in 1855 revolt - out of jail and executed both by hanging.,"Bleen. ""Vigilantism,"" p.22",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Prisoner; Legal; Jail,Lethal Violence; Seized Person(s); Extraction,2,,,,
5,1856,1856/05,California,Monterrey,Monterrey,36.60231,-121.89565,"May: On the 11th, three unknown Mexicans taken from jail and hanged for alleged murder, apparently with little proof.","Nevada Journal (Nevada City), 16 May 1856 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Legal; Jail; Prisoner,Lethal Violence; Seized Person(s); Extraction,3,,,,PTH
6,1856,1856/05,Kansas,Sante Fe Trail,"Santa Fe Trail, Kansas",39.348434,-94.952914,"May: Eight free-soilers ambush 18 pro-slavery men, killing several.","Nichols.Bleeding Kansas, p.111",Slavery; Racial; Political; Vigilante; Land,Free-Soiler; Anti-Slavery; Free-Stater; Political; Vigilante,Pro-Slavery; Border Ruffian; Political,Lethal Violence,,,,,
7,1856,1856/05,California,San Francisco,San Francisco,37.752148,-122.44147,"May: Organization of S.F. vigilance committee by middle and upper class Protestants to counter Irish-Catholic political machine and violence. On May 12, Comm. Seized two accused murderers, tries and executes them. Committee then active in arresting and banishing others. Confronts governor's forces and wins. Tries and executes two others and disbands in August.",H+W p.458-462,Ethnic/National; Religious; Political; Vigilante; Law,American; Nativisit; Vigilante; Protestant; Vigilance Committee,Irish; Catholic; Legal,Seized Person(s); Lethal Violence,4,,,,
8,1856,1856/05,Kansas,Pottawatomie Creek,"Pottawatomie Creek, Kansas",38.44404,-95.082544,May: John Brown and 8 followers visit three homes and execute 5 pro-slavery men (two were boys) in brutal massacre.,"Nichols.Bleeding Kansas, p.110-119",Slavery; Vigilante; Law; Racial; Political; Land,Free-Soiler; Anti-Slavery; Free-Stater; Vigilante,Pro-Slavery; Border Ruffian; Youth,Lethal Violence,5,,John Brown,,
9,1856,1856/05,Kansas,Prairie City,"Praire City, Kansas",38.781829,-95.187765,"May: Pro-slavery men, after capturing local minister, road into town to be met by 20 or 50 free-soil men, who fired upon them. Two men killed. Next day free-soil men, with John Brown and company attack Captain Pate's pro-slavery force of 50. Although free-soil men outnumbered, they capture Pate and half his men. Two opposing forces in area almost collide, but federal troops arrive and restore order.","Nichols.Bleeding Kansas, p.12-124",Slavery; Vigilante; Law; Racial; Political; Land,Free-Soiler; Anti-Slavery; Free-Stater; Pro-Slavery; Border Ruffian; Vigilante,Free-Soiler; Anti-Slavery; Free-Stater; Pro-Slavery; Border Ruffian; Religious; Minister,Seized Person(s); Lethal Violence,2,,John Brown; Pate,Pate,
10,1856,1856/06,Texas,Rio Grande City,Rio Grande City,26.38219,-98.81923,"June: Unknown Mexican ""hanged for stealing horses and robbing a church.""","Galveston Weekly News, 8 July 1856 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief; Alleged Horse Thief,Lethal Violence,1,,,,PTH
11,1856,1856/06,Louisiana,New Orleans,New Orleans,29.944425,-90.08651,"June: Great deal of election rioting, mostly by know-nothings. At least two men killed and a score wounded. Maybe 4 men killed.","Billington, p.421; Asbury.French Quarter, p.295-296",Political; Ethnic/National; Religious,American; Nativisit; Political,Unknown,Lethal Violence; Non-Lethal Violence,2,,,,
12,1856,1856/06,Kansas,Franklin,"Franklin, Kansas",37.527216,-94.707369,June: Free soilers attack a half-built fort and a pro-slavery man killed.,"Nichols.Bleeding Kansas, p.130",Slavery; Vigilante; Law; Racial; Political; Land,Free-Soiler; Anti-Slavery; Free-Stater; Vigilante,Pro-Slavery; Border Ruffian; Vigilante,Lethal Violence,1,,,,
13,1856,1856/08,Kansas,Lecompton,Kansas,39.042909,-95.391278,"August: Free-soil men capture Fort Titus. One free-soiler killed, 2 pro-slavery killed. A cannon used. Titus captured and sent to Lawrence.","Nichols.Bleeding Kansas, p.137-139",Slavery; Vigilante; Law; Racial; Political; Land,Free-Soiler; Anti-Slavery; Free-Stater; Vigilante,Pro-Slavery; Border Ruffian,Lethal Violence; Seized Person(s),3,,,Henry Titus,
14,1856,1856/08,Kansas,Osawatomie,"Osawatomie, Kansas",38.498662,-94.948956,"August: Missourians under the leadership of General John Reid, at the invitation of pro-slavery interim governor attacked this free-soil town. Forty free-soilers ambushed them and resulting gun battle led to 5 free-soilerss killed, 3 wounded, and 2 killed and 3 wounded pro-slavery. After driving off the free-soil forces, pro-slavery men ran into Frederick Brown, John's son, and killed him. They then sacked the town. Shortly thereafter 2 larges forces (1300 each) fired a few volleys at each other and separated.","Nichols.Bleeding Kansas, p.135-136",Slavery; Vigilante; Law; Racial; Political; Land,Pro-Slavery; Border Ruffian; Missourian; Vigilante,Free-Soiler; Anti-Slavery; Free-Stater,Lethal Violence; Non-Lethal Violence; Property Destroyed,8,6,John Reid,Frederick Brown,
15,1856,1856/09,Kansas,Leavenworth,Kansas,39.323495,-94.926377,"September: Pro-slavery forces called regulators attack William Phillips' house. He and his brother-in-law killed two, but Phillips was killed, too. Regulators also shipped 150 free-soilers down river that and the next day.","Nichols.Bleeding Kansas, p.149",Slavery; Vigilante; Law; Racial; Political; Land,Pro-Slavery; Border Ruffian; Regulator (Pro-Slavery); Vigilante,Free-Soiler; Anti-Slavery; Free-Stater,Seized Person(s); Lethal Violence,3,,,William Phillips,
16,1856,1856/09,Kansas,Hardteville,"Hardteville, Kansas",39.29885,-95.33271,September: Free-soilers under John Swift attacked and captured the town. One defender had been killed. Four-pounder used. Later government troops capture free-soilers.,"Nichols.Bleeding Kansas, p.154-155",Slavery; Vigilante; Law; Racial; Political; Land,Free-Soiler; Anti-Slavery; Free-Stater; Vigilante,Pro-Slavery; Border Ruffian,Lethal Violence,1,,John Swift,,
17,1856,1856/09,Maryland,Baltimore,Baltimore,39.293324,-76.615924,"September: ""Rip-Rap"" and Wanpawoag Clubs attack 17th ward house kept by James clar on Light street, opposite Warren. Bricks used and some shots fired. One man killed, several wounded during half hour battle. Police eventually disperse rioters Nativist battle.","Scharf.Chronicles, p.549; H+W, p.93",Ethnic/National; Gang,Nativist; Rip-Rap; Wanpawoag; Gang,Unknown,Lethal Violence,1,,,James Clar,
18,1856,1856/11,Maryland,Baltimore,Baltimore,39.293324,-76.615924,"November: Serious election rioting throughout city, especially at 2nd and 8th ward polls. Eight killed, about 150 wounded as Democrats and know-nothings square off. Some common brought into play as know-nothings, despite strong democratic resistance, carry the day. Other reports (now Scharf) say 17 dead, 67 wounded.","Scharf.Chronicles, p.550-552",Political; Ethnic/National,Political; Nativist; Democrat; Know-Nothing,Political; Nativist; Democrat; Know-Nothing,Lethal Violence; Non-Lethal Violence,17,67,,,
19,1856,1856/05,California,San Francisco,San Francisco,37.752148,-122.44147,"May: Vigilantes organize, they hang four men, expel many others, breaking up Irish Democratic machine.","Senkewicz.Vigilantes, p.156-188",Ethnic/National; Religious; Vigilante; Law; Political,Vigilante,Irish; Catholic; Democrat; Political,Lethal Violence; Threat,4,,,,
20,1856,1856/10,California,Watsonville,"Pajaro River, Near Watsonville",36.90904,-121.75208,October: José Castro hanged by Matt Tarpy and his vigilantes for alleged attempted murder. Tarpy and his men had to seize Castro from a group of Mexicans who tried to protect him.,"Santa Cruz Pacific Sentinel, 1 and 15 Nov. 1856 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Law; Ethnic/National; Religious; Vigilante,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal,Lethal Violence; Seized Person(s),1,,Matt Tarpy,José Castro,PTH
21,1856,1856/11,Ohio,Manchester,"Manchester, Adams Co.",38.68886,-83.6077,"November: Bill, a black man, hanged for alleged rape","New York Times, December 4, 1856 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law; Racial,White; Vigilante,Black; Alleged Criminal; Alleged Sexual Assailant,Lethal Violence,1,,,Bill,PTH
1,1857,,Tennessee,Rogersville,"Rogersville, TN",36.40482,-83.00497,"Burning of black man for alleged ""sundry foul, revolting, and hellish crimes""","New York Times, Sept. 17, 1857.",Racial; Vigilante; Law,White; Vigilante,Black; Alleged Criminal,Lethal Violence; Mutilation,1,,,,PTH
2,1857,,Kentucky,Louisville,"Louisville, KY",38.248802,-85.731141,"Hanging of George, an enslaved man for alleged murder","Cutler, Lynch-Law, 125; source: Liberator, October 16, 1857 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Vigilante; Law; Slavery,White; Vigilante,Black; Alleged Criminal; Alleged Murderer; Slave,Lethal Violence,1,,,George,PTH
3,1857,,Kentucky,Louisville,"Louisville, KY",38.248802,-85.731141,"Hanging of Bill, an enslaved man for alleged murder","Cutler, Lynch-Law, 125; source: Liberator, October 16, 1857 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Vigilante; Law; Slavery,White; Vigilante,Black; Alleged Criminal; Alleged Murderer; Slave,Lethal Violence,1,,,Bill,PTH
4,1857,,Arkansas,Chicot Co.,"Chicot Co., AR",33.28686,-91.28867,Burning of black man for alleged murder and rape,"Bertram Wyatt-Brown, Southern Honor: Ethics and Behavior in the Old South (New York: Oxford University Press, 1982), 389 from Pfeifer, Roots of Rough Justice.",Racial; Vigilante; Law,White; Vigilante,Black; Alleged Criminal; Alleged Sexual Assailant; Alleged Murderer,Lethal Violence; Mutilation,1,,,,PTH
