Number,Year,Date,State,Sublocation,Location,Lat,Long,Description,Source,Type,Rioter Classification,Target Classification,Actions,Recorded # Killed,Recorded # Injured,Persons Named as Rioters,Persons Named as Targets,Note
1,1838,1838/03,Illinois,Michigan Canal,"Illinois, Michigan Canal",41.758005,-87.852353,March: Dispute over firing workers leads to riot. Militia ordered in. Ten killed.,"Way.Common Labour, p.290",Labor,Worker; Canal Worker,Employer; Military; Miltia,Lethal Violence,10,,,,
2,1838,1838/06,Pennsylvania,Philadelphia,Philadelphia,39.90153,-75.176711,June: Insane black man killed a watchman. After the funeral a crowd gathered and threatened black neighborhood. Mayor successfully discouraged them. But that evening black homes were attacked. During fighting another white man stabbed to death.,"Scharf and Wescot,. p.654-655; Werner, p.273",Racial; Law; Vigilante,White; Vigilante,Black,Property Destroyed; Threat; Lethal Violence,1,,,,
3,1838,1838/10,Missouri,Crooked River,"Crooked River, Missouri",39.25848,-93.833837,October: Mormons attack party of Missourians who had captured three Mormons. Mormons charged and routed opponents. But lost three dead - including leader David Patten and several wounded. Missourians lost 1 dead.,"Baily. Armies, p.63-64",Religious,Religious; Mormon,Missourian,Lethal Violence,4,,David Patten,,
4,1838,1838/10,Missouri,Haun's Mill,"Haun's Mill, Missouri",39.651599,-93.822182,"October: Approximately 240 men from several counties, including several big shots, attacked a Mormon community, killing 18 or 19 people - largely men and boys. Missourians in state militia. Baily says out of 38 men and boys, 17 killed and wounded. Several of the dead were killed after - caputre and were wounded already.","H+W p.301-304; Baily, p.67-69",Religious,Missourian; Military; Militia,Religious; Mormon,Lethal Violence,19,,,,
1,1839,1839/08,Maryland,Little Orleans,"Little Orleans, Md",39.628037,-78.388116,"August: Irish workers fight with Germans. This involves canal workers. One dead. Militia ordered in, arrests and imprisonments.","Way,Common Labour, p.193,223-224",Labor; Ethnic/National,Irish; German; Worker; Canal Worker,Irish; German; Worker; Canal Worker,Lethal Violence,1,,,,
1,1840,1840/04,Iowa,Bellevue,"Bellevue, Iowa",42.259739,-90.427657,April: Sheriff leads posse in attack on Brown's hotel and gang of thieves. Gun battle unsues. Unclear what authority used. Several killed. Afterward posse takes law into own hands and horsewhips captured bandits.,"Ely. ""Pioner Gangsters,"" p.73-90",Vigilante; Law,Legal; Law Officer; Sheriff; Vigilante,Alleged Bandit; Alleged Thief; Alleged Criminal,Lethal Violence; Seized Person(s); Non-Lethal Violence,,,,,
2,1840,1840/10,Missouri,St. Louis,St. Louis,38.663531,-90.278251,October: Ethnic rioting led to the death of at least one person.,"Billington, p.198",Ethnic/National,Unknown,Unknown,Lethal Violence,1,,,,
3,1840,1840/11,Virginia,Charlottesville,"Charlettsville, Va",38.039672,-78.49897,"November: University of Va riot. Students shoots and kills J. Davis, an eminent Va legal scholar.","Bruce.Violence and Culture, p.63",Student,Student; Youth,University; Professor; Legal,Lethal Violence,1,,,J. Davis,
4,1840,1840/07,Virginia,Blandford,"Blandford, Petersburg, VA",38.992052,-79.12622,"July: A man named John Slaughter recieved an anonymous letter from ""A.B.C. and fifty others"" ordering him to quit town within twenty days or be ""well dressed."" Slaughter had been lynched before, some years ago. Slaughter believed that Joseph Pledge had written the letter. In anticipation, Slaughter moved to an upper room in his house with pistols and a scythe. Pledge rode to Slaughter's house and tried to convince him he was not part of the plot. Slaughter did not believe him, and called him a ""damn'd free negro mulatto looking son of a bitch."" At this, Pledge throw a brickbat into a window, causing Slaughter's child to cry out. Slaughter, believing his child to be killed, opened fire. The shot pierced Pledge's femoral artery, and he died. ","Benjamin Watkins Leigh, Virginia Reports: Jefferson - 33 Grattan, 1730-1880 (Thomas Johnson Michie, annot.), 753-756.",Vigilante; Law,Unknown,Unknown,Lethal Violence; Threat,1,,Joseph Pledge; John Slaughter,Joseph Pledge; John Slaughter,PTH
5,1840,1840/09,Iowa,Dubuque,"Dubuque, Dubuque Co., IA",42.518756,-90.684951,"September: Nat, a Black man, flogged to death for alleged theft","Chicago American, September 18, 1840 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law; Racial,Vigilante,Black; Alleged Criminal; Alleged Thief,Lethal Violence,1,,,Nat,PTH
1,1841,,Mississippi,Union Point,"Union Point, MS",39.01098,-94.48256,"Burning of a ""runaway slave"" for alleged murder, rape, and robbery","Christopher Waldrep, ed., Lynching in America: A History in Documents (New York: New York University Press, 2006), 76-77, source: Mississippi Free Trader, March 8, 1854 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Slavery; Law; Vigilante,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Murderer; Alleged Sexual Assailant; Alleged Thief,Lethal Violence,1,,,,PTH
2,1841,1841/06,Illinois,Ogle Co.,"Ogle Co., Illinois",42.035234,-89.35899,"June: Regulators take three captured horse thieves and suspected murderers - Wm. Driscoll and two sons, out of jail. The Driscolls were accused of shooting the Regulator captain John Campbell. They held a trial, sentencing two to death. At the prisoners' request, they shot the man instead of hanging.","Jones. ""Three Days,"" p.136-139",Vigilante; Law; Gang,Vigilante; Regulator (Vigilante); Gang,Alleged Criminal; Alleged Thief; Alleged Bandit; Alleged Horse Thief; Prisoner; Legal; Jail,Lethal Violence; Seized Person(s),2,,,William Driscoll,
3,1841,1841/07,Louisiana,Carrollton,"Carrollton, Louisiana",29.944425,-90.08651,July: Mostly German ropewalk workers beat manager to death and severely injured two others while they investigated charges that the workers had treated brtually a crippled worker.,"Grimsted. ""Antebellum Workers,"" p.10,11,23,24",Ethnic/National; Labor,Worker; Ropewalk Worker; German,Manager,Lethal Violence; Non-Lethal Violence,1,2,,,
4,1841,1841/10,Texas,Shelbyville,"Shelbyville, Texas",31.759647,-94.078636,"October: 300 Regulators under Watt Moorman held ""trial"" for three members of McFaddin family for murder of Charles Jackson (McFaddin house had been burnt by Jackson earlier). Two oldest McFaddin hanged. Other murders committed by Regulators at this time.","Sonnechson.10 Texas Feuds, p.31-33",Vigilante; Law; Gang,Vigilante; Regulator (Vigilante); Gang,Alleged Criminal; Alleged Murderer,Lethal Violence; Seized Person(s),2,,Watt Moorman,McFaddin,
1,1842,,Missouri,Pevely,"Pevely, Jefferson Co., MO",38.28332,-90.39493,Hanging of black man for alleged murder and robbery,"Goodspeed's History of Franklin, Jefferson, Washington, Crawford, & Gasconade Counties, Missouri (Chicago: The Goodspeed Publishing Co., 1880), 405 as listed in Pfeifer, The Roots of Rough Justice.",Racial,White,Black,Lethal Violence,1,,,,PTH
2,1842,,Louisiana,East Feliciana Parish,"East Feliciana Parish, LA",30.82561,-91.0341,"Burning of two ""runaways"" for alleged murder, rape, and kidnapping","Wyatt-Brown, Southern Honor, 388-389 as listed in Pfeifer, Roots of Rough Justice.",Racial; Slavery,White,Black; Slave,Lethal Violence,2,,,,PTH
3,1842,1842/08,Ohio,Cincinatti,"Cincinnati, Ohio",39.105032,-84.517971,August: Rioting broke out after a parade of German military companies when one of the officers killed a boy who was annoying him.,"Billington, p.197",Ethnic/National; Military,German; Military; Officer,Youth,Lethal Violence,1,,,,
1,1843,1843/02,Mississippi,Gallatin,"Gallatin, Copiah Co., MS",39.91372,-93.96321,"February: Hanging of ""negro men of Mr. Burdy"" for alleged rape, murderous assualt, and robbery","Courier de La Louisiane, March 1, 1843 as listed in Pfeifer, The Roots of Rough Justice.",Slavery; Racial; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Sexual Assailant; Alleged Murderer; Alleged Thief,Lethal Violence,1,,,,PTH
1,1844,1844/05,Pennsylvania,Philadelphia,Philadelphia,39.90153,-75.176711,"May: Anti-Irish violence. Begun over Bible dispute. Erupts in Kensington. Nativist meeting after rainstorm attempts to use local market. Irish resist, and a neighborhood battle erupted. Death of George Shiffler anger nativist crowd. Mayor's attempts to quell disturbance failed. Militia and special police used. St. Michaels and St. Augustine Catholic church attacked.","Feldberg.Philadelphia Riot; Scharf and Wescott, p.663-669; Billington, p.220-237",Ethnic/National; Religious,Nativist; American; Protestant,Irish; Catholic; Religious; Church,Lethal Violence,4,,George Shiffler,,PTH Edits
2,1844,1844/06,Illinois,Carthage,"Cathage, Illinois",40.415298,-91.136818,June: Mob broke into jail and shot Joseph Smith and his brother Heyrum. Wounded another Mormon leader. They had been arrested for the destruction of the Nauvoo Expositor.,"Baily.Armies, p.136-137",Religious; Law; Vigilante,Illinoisan; Vigilante,Religious; Mormon; Legal; Jail,Lethal Violence; Non-Lethal Violence,2,1,,Joseph Smith; Heyrum Smith,
3,1844,1844/07,Pennsylvania,Philadelphia,Philadelphia,39.90153,-75.176711,July: Anti-Irish violence - deaths and injuries. In Southwark. Starts with threat to Catholic church. Militia attempts to defend. Battles ensue with mob and militia. Mob has cannons at times. A total of 14 killed on both sides.,"Feldberg.Philadelphia Riot; Scharf and Wescott, p.669-674; Billington, p.220-237",Ethnic/National; Religious,Nativist; American,Irish; Catholic; Militia; Religious; Church,Lethal Violence; Threat,14,,,,
4,1844,1844/08,Texa,Shelbyville,"Shelbyville, Texas",31.759647,-94.078636,"August: Big Texas battle involving at least 100 men on both Moderator and Regulator side. Estimates vary - some say Regulators lost 15 in killed and wounded, Moderators 6 wounded. Regulators say 16 Moderators killed, 2 Regulators.","(??)10 Texas Feuds, p.47-50",Vigilante; Law; Gang,Vigilante; Regulator (Vigilante); Gang; Moderator,Vigilante; Regulator (Vigilante); Gang; Moderator,Lethal Violence; Non-Lethal Violence,,,,,
5,1844,1844/09,Illinois,Western Illinois,Western Illinois,40.174795,-90.503996,"September: Raid and counter-raid between Mormons and opponents. Some 150 Mormon homes and farms burned. Mormons retaliate, including gun battle where one anti-Mormon was killed.","Winn.Exiles, p.227-228",Religious,Illinoisan; Mormon,Illinoisan; Mormon,Lethal Violence; Property Destroyed,1,,,,
6,1844,1844/12,New York,Grafton,"Grafton, NY",42.769484,-73.44925,"December: A group of 50 ""Indians"" obstructed Nathan Martin with three workmen from transporting lumber on land. Martin had obtained at the landlord's terms 21 year old Elijah B. Smith, threatened the ""Indians"" with an axe and one ""Indian"" shot and killed him.","Pendleton, p.113-115, 136",Unknown,Unknown,Unknown,Lethal Violence; Threat,1,,,Nathan Martin; Elijah B. Smith,
1,1847,1847/06,Pennsylvania,Carlisle,"Carlisle, PA",40.201635,-77.185167,"June: Crowd of African Americans rescue two fugitive slaves taken to the court house by slave catchers. Attempts were made in the court house and in the street. Stones, clubs, and canes used. Slaveholder knocked down by stones, injured and subsequently died.","Katz.Resistance at Christians, p.50-51",Slavery; Racial; Law,Black; Anti-Slavery; Abolitionist,Slave Catcher; Slaveholder; Pro-Slavery; Legal; Court,Lethal Violence; Non-Lethal Violence; Extraction,1,,,,
2,1847,1847/04,Missouri,Franklin Co.,"Franklin Co., MO",38.40104,-91.00077,"April: Enslaved man named Eli lynched for allegedly murdering and attempting to rape a white woman, and attempting to kill her son","Harrison Anthony Trexler, Slavery in Missouri, 1804-1865 (Baltimore: The Johns Hopkins Press, 1914), 254n61 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Murderer; Alleged Sexual Assailant,Lethal Violence,1,,,Eli,PTH
1,1848,,Minnesota,St. Croix Valley,St. Croix Valley,45.41262,-92.63973,Hanging of a Native man named Paunais for alleged murder of White trader,"Marilyn Ziebarth, ""Judge Lynch in Minnesota,"" Minnesota History 55, no. 2 (Summer 1996): 72 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law; Racial,White; Vigilante,Native; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Paunais,PTH
1,1849,1849/01,California,Dry Diggings,Dry Diggings,38.72751,-120.7998,"Janurary: Three men hanged. One for alleged horse theft. Dry Diggings given the new name of ""Hangtown.""",,,,,,,,,,
2,1849,,Arkansas,Phillips Co.,Phillips Co. AR,34.37981,-90.81906,Burning of enslaved man for allegedly murdering master,"Orville W. Taylor, Negro Slavery on Arkansas (Durham, N.C.: Duke University Press, 1958), 235 as listed in Pfiefer, Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Murderer,Lethal Violence; Mutilation,1,,,,PTH
3,1849,1849/05,New York,New York City,NYC,40.720368,-74.001098,"May: Astor Place Riot. Long-time feud between William C. MacReady and Edwin Forrest led to major theater riot. When MacReady attempted to act MacBeth he was not only shouted offstage, but the crowd outside began to riot. Troops were brought in. Fired once over heads, but then had to fire directly into crowd. 22 died, 48 wounded. 50 to 70 police injured. Next night protest against force easily quelled. Some 300 police and 200 state militia involved.","Cook.Armies, p.24-27",Theater,Unknown,Theater; Actor; Legal; Law Officer; Military; Militia,Lethal Violence,22,,Edwin Forrest,William C. MacReady,
4,1849,1849/07,Pennsylvania,Philadelphia,Philadelphia,39.90153,-75.176711,"June: Fire purposefully set so a gang could attack Franklin Hose company on its way to the fire. That night the Franklin Hose company retaliated, attacking the Moyamensing Hose. Shots exchanged, one man killed, 9 or 10 wounded.","Scharf and Wescott, p.691-692",Firefighter,Firefighter; Franklin Hose; Gang,Firefighter; Franklin Hose; Gang,Lethal Violence,1,,,,
5,1849,1849/07,Illinois,Massac Co.,"Massac Co., Illinois",37.240106,-88.724884,July: Flatheads and Regulators fight at Linn Farm. Two flatheads killed and four wounded. One regulator killed and two wounded.,"Eteheson. ""Good Men,"" p.17;Lethal Imagination, p.161",Vigilante; Law; Gang,Vigilante; Regulator (Vigilante); Gang; Flathead,Vigilante; Regulator (Vigilante); Gang; Flathead,Lethal Violence; Non-Lethal Violence,3,6,,,
6,1849,1849/07,Illinois,Massac Co.,"Massac Co., Illinois",37.240106,-88.724884,"July: Regulators and Flatheads battle it out about 150 men engaged. Three men killed; two Flatheads, one Regulator.","Brumbaugh. ""Regulator Movement,"" p.55-56",Vigilante; Law; Gang,Vigilante; Regulator (Vigilante); Gang; Flathead,Vigilante; Regulator (Vigilante); Gang; Flathead,Lethal Violence,3,,,,
7,1849,1849/07,Iowa,Linn Co.,"Linn County, Iowa",42.06265,-91.60189,July: John Wilson killed for alleged horse theft,"Dubuque Weekly Miner's Express, July 25, 1849 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law; Gang,Vigilante,Alleged Criminal; Alleged Thief; Alleged Horse Thief,Lethal Violence,1,,,John Wilson,PTH
8,1849,1849/10,Pennsylvania,Philadelphia,Philadelphia,39.90153,-75.176711,"October: Post-election riot at the California House pub led to race fighting leaving several black and white people dead. Fire set to California House spread to several other buildings. Rioters fight firemen. Two firemen killed, one Irishman, and one black boy. At least nine whites and 16 blacks injured. African Americans attempted to fight back at California house and elsewhere. Militia called out to quell riot.","Feldsburg.Philadelpha Riots, p.5",Political; Racial; Firefighter; Ethnic/National; Religious,Irish; Catholic; Black; Firefighter; Youth,Irish; Catholic; Black; Firefighter; Youth,Lethal Violence; Property Destroyed,4,25,,,
9,1849,1849/12,California,California,California,36.065613,-118.674543,"December: Yankee miners drive a Chilean party out, hanged the major (??), whipped several others and cropped the ears of still others. At one point before these punishments, an American had been killed.",No source given,Racial; Law; Vigilante; Ethnic/National; Religious,American; Worker; Miner; Vigilante; Anglo,Chilean; Hispanic; Catholic,Lethal Violence; Non-Lethal Violence; Humiliation; Mutilation,1,,,,
10,1849,1849/07,Wisconsin,Chippewa Falls,Chippewa Falls,44.93583,-91.38937,July: Hanging of unnamed Native man for allegedly stabbing a lumberjack,"Western Historical Company, History of Northern Wisconsin (Chicago, 1881), 195 as listed in Pfeifer, The Roots of Rough Justice.",Vigilante; Law; Racial,Vigilante; White,Native; Alleged Criminal; Alleged Assailant,Lethal Violence,1,,,,PTH
11,1849,,California,San Francisco,San Francisco,37.752148,-122.44147,"Summer: Company of veterans called ""the Hounds"" attack hispanics from Chile, Peru, and Mexico. At least one killed.","Pitt. ""Beginnings of Nativism,"" p.26",Racial; Ethnic/National; Religious,White; Anglo; Military; Veteran; Gang,Chilean; Hispanic; Catholic; Mexican; Peruvian,Lethal Violence,1,,,,
12,1849,1849/12,California,Dry Diggings,Dry Diggings,38.72751,-120.7998,December: A Mexican hanged for alleged theft.,"Placer Times (Auburn), 19 Jan. 1850; Rough Abstract of a Forty-Niner Diary as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,1,,,,PTH
13,1849,,California,Sarage's Diggings,Sarage's Diggings,37.83648,-120.23159,Late: Unknown Mexican hanged for allegedly stealing a mule.,"Calif. Historical Marker 446; Weston, Mother Lode Album as listed in William D. Carrigan and Clive Webb, Forgotten Dead: Mob Violence against Mexicans in the United States, 1848-1928 (Oxford: Oxford University Press, 2013).",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,1,,,,PTH
1,1850,1850/08,New York,New York City,NYC,40.720368,-74.001098,"August: Striking tailors ransack a store that made non-union clothing. Police intervened and a general battle ensued. Two strikers fatally wounded, others seriously injured. 32 German tailors arrested and ultimately plead guilty to A+B. Fines levied ranging from $5 to $50.","Degler. ""Labor,"" p.81",Ethnic/National; Labor; Law,Worker; Tailor; Union; German,Worker; Tailor; Non-Union; Strikebreaker; Legal; Law Officer,Lethal Violence; Non-Lethal Violence; Strike,2,,,,
2,1850,1850/04,California,Sacramento,"Sacramento, California",38.58275,-121.418853,"August: A party of 40 squatters attempted to regain possession of property one of their number had been evicted from. The sheriff and his men opposed them. A gun battle ensued. At least two died and several wounded. On the next day, when the sheriff attempted to arrest several of tese rioters at a hotel, another gun battle erupted. The sheriff was killed, while two squatters perished.","Hittell, p.673-676; H+W p.130-132",Land,Squatter,Legal; Law Officer; Sheriff,Lethal Violence; Non-Lethal Violence,5,,,,
3,1850,1850/01,Texas,Brownsville,"Brownsville, TX",25.91386,-97.48877,January: A small group of men whipped and then killed Juan Chapa Guerra under the mistaken impression that he was Juan Chapa García.,"Report of the Committee of Investigation of the Mexican Government as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic,Lethal Violence; Non-Lethal Violence,1,,,Juan Chapa Guerra; Juan Chapa García,PTH
4,1850,1850/05,Missouri,Clay Co.,"Clay Co., MO",39.29333,-94.40306,May: Hanging of enslaved woman for allegedly assualting mistress with an ax,"R. Douglas Hurt, Agriculture and Slavery in Missouri's Little Dixie (Columbia, MO: University of Missouri Press, 1992), 248 as listed in Pfeifer, The Roots of Rough Justice.",Slavery; Racial; Law; Vigilante,White; Vigilante,Black; Slave; Woman; Alleged Criminal; Alleged Assailant,Lethal Violence,1,,,,PTH
5,1850,1850/06,Virginia,Culpepper County,Culpepper County,38.47631,-77.99381,"June: A black man named Grayson arrested for the murder of David W. Miller on ""wholly insufficient"" evidence. After the murder, ""bystanders, under the great excitement of the moment, forgetful of the mild spirit of our law"" tortured the accused man. Statements made during this torture used against Grayson. The court ordered a new trial, but a mob stormed the jail and hanged Grayson themselves.","Supreme Court of Appeals of Virginia, 1850-1851 Cases: Volume VII, 318-319",Racial; Vigilante; Law,White; Vigilante,Black; Legal; Jail; Alleged Criminal; Alleged Murderer,Lethal Violence; Extraction,1,,,Grayson,PTH
6,1850,1850/07,Texas,Brownsville,"Brownsville, TX",25.91386,-97.48877,July: Hanging of Francisco Flores for alleged murder.,"Wisconsin Democrat, Aug. 1850 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Francisco Flores,PTH
1,1851,1851/01,California,Agua Fria,"Agua Fria, CA",37.48485,-120.02009,"January: A mob of 500 anglos and 200 ""foreigners"" hanged a man named Pablo for alleged murder.","Sacremento Transcript, 21 Jan 1851 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Pablo,PTH
2,1851,,Georgia,Columbus,"Columbus, GA",32.46252,-84.99167,"Hanging of Jarrett, and enslaved man, for alleged rape","Wyatt-Brown, Southern Honor, 389 as listed in Pfeifer, Roots of Rough Justice.",Slavery; Racial; Vigilante; Law,White; Vigilante,Black; Alleged Criminal; Alleged Sexual Assailant,Lethal Violence,1,,,Jarrett,PTH
3,1851,1851/04,California,Calaveras Co.,"Calaveras Co., California",38.222055,-120.663704,April: An organized company of French soldiers forcibly ejected by 900 Americans storming their encampment. Two French and one American killed.,"Pitt. ""Beginnings of Nativism,"" p.34",Ethnic/National; Religious,American,French; Catholic; Military,Lethal Violence; Non-Lethal Violence,3,,,,
4,1851,1851/05,New Jersey,Hoboken,"Hoboken, NJ",40.737621,-74.031269,"May: Rowides assault large body of Turnverein Germans celebrating Pentecost with a picnic. Germans counter-attacked, and drove the rowdies off. Germans demolished furnishing of house where rowdies hid. Rowdies destroyed a German's house. Reinforced, the rowdies continued the battle and tried to prevent the Germans from returning to NYC. At least one killed, maybe as many as 4. Plenty more wounded.",H+W p.309-312,Ethnic/National,American; German,American; German,Lethal Violence; Property Destroyed; Non-Lethal Violence,4,,,,
5,1851,1851/06,California,Jackson,"Jackson, CA",38.35064,-120.77226,June: Anglo vigilance committee hanged a Mexican man for alleged murder.,"Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,White; Vigilante; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
6,1851,1851/06,California,Shaw's Flat,"Shaw's Flat, CA",38.00751,-120.4094,"June: On 15 June, a crowd of between one and three thousand lynched Antonio Cruz and Patricio Janori for the alleged murder of an Anglo.","San Francisco Herald, 28 June and 1 July 1851 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,2,,,Antonio Cruz; Patricio Janori,PTH
7,1851,1851/06,California,San Francisco,San Francisco,37.752148,-122.44147,"June: After a merchant caught an Australian thief robbing his safe, a group of merchants held a vigilante trial, found the man guilty and hanged him. One of the leaders cried, at the moment of execution, ""Every lover of liberty and good order lay hold of this rope.""","Senkewicz.Vigilantes, p.5",Ethnic/National; Vigilante; Law,American; Merchant; Vigilante,Australian; Thief,Lethal Violence; Seized Person(s),1,,,,
8,1851,1851/07,California,Downieville,"Downieville, California",39.560148,-120.828421,"July: Miners lynched a Mexican woman, Josefa Segovia, because she was an ""evil body who corrupted innocent young American men.""","Pitt. ""Beginnings of Nativism,"" p.34 and Carrigan and Webb, Forgotten Dead.",Racial; Law; Vigilante; Ethnic/National; Religious,White; Anglo; Miner,Mexican; Hispanic; Woman; Catholic,Lethal Violence,1,,,Josefa Segovia,PTH Edits
9,1851,1851/07,Texas,Austin,"Austin, TX",30.26248,-97.74838,July: Hanging of enslaved man for alleged murder,"Enda Junkins, ""Slave Plots, Insurrections, and Acts of Violence in the State of Texas, 1828-1865"" (MA thesis, Baylor University, 1969), 40 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
10,1851,1851/08,California,San Francisco,San Francisco,37.752148,-122.44147,"August: Vigilantes ""rescue and murder two prisoners.""","Senkewicz.Vigilantes, p.89",Vigilante; Law,Vigilante,Prisoner; Legal; Jail,Lethal Violence; Extraction,2,,,,
11,1851,1851/09,Pennsylvania,Christiana,"Christiana, PA",39.95409,-75.996213,"September: A marshal, a posse and a slave owner attempt to get fugitive slaves at William Parker's. 15-25 black people engage in a gun battle with them. One white person - the slave owner - killed, several others seriously wounded.",Katz.Resistance at Christiana,Slavery; Racial,Black; Anti-Slavery; Abolitionist,Slavecatcher; Slaveholder; Legal; Law Officer; Marshal,Lethal Violence,1,,William Parker,,
12,1851,1851/11,California,Campo Seco,Campo Seco,38.22704,-120.85346,"November: On the 15th, a man named Domingo lynched by a mob for alleged murder.","New York Times, 6 Jan 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Domingo,PTH
13,1851,1851/12,California,Rich Gulch,Rich Gulch,38.33071,-120.63041,"December: On the 22nd, two Mexicans hanged by a vigilance committee for alleged murder.","Journals of Alfred Doten as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,2,,,,PTH
1,1852,1852/11,California,Los Angeles,Los Angeles,34.022624,-118.367045,November: Mexican-American bandits kill local judge. Some bandits apprehended. Several taken from court house and hanged.,"Bleen. ""Vigilantism,"" 57 (1972), 17",Racial; Law; Ethnic/National; Religious,Mexican; American; Hispanic; Vigilante; Alleged Bandit; ALleged Criminal,Legal; Judge; Prisoner; Mexican; American; Hispanic; Alleged Bandit; Alleged Criminal,Lethal Violence,,,,,
2,1852,1852/02,New Mexico,Belen,"Belen, NM",34.66193,-106.77129,February: Patricio Chaves and Domingo Ramón Apodaca hanged for unknown reason on 16 February.,"Archives of the Archdiocese of Sante Fe; Santa Fe Weekly Gazette, 1 Jan 1853 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Ethnic/National; Religious,Unknown,Mexican; Hispanic; Catholic,Lethal Violence,2,,,Patricio Chaves; Domingo Ramón Apodaca,PTH
3,1852,1852/04,Texas,Rio Grande City,"Rio Grande City, TX",26.38219,-98.81923,"April: Mexican hanged by vigilantes for alleged murder, ""in the presence of the 'whole people - all concurring'""","New York Times, 13 May 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
4,1852,1852/04,Texas,Rio Grande City,"Rio Grande City, TX",26.38219,-98.81923,April: A Mexican accused of murder captured in Mexico and returned to Texas to be lynched.,"New York Times, 13 May 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
5,1852,1852/04,Texas,Rio Grande City,"Rio Grande City, TX",26.38219,-98.81923,April: Six Mexicans shot by Anglos for allegedly murdering Thomas Harris.,"New York Times, 13 May 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,6,,,,PTH
6,1852,1852/04,California,Mokelumne Hill,"Mokelumne Hill, CA",38.30089,-120.70668,"April: On the 1st, A vigilance committee convicted and hanged Carlos Esclava for alleged theft. A crowd of between 800 and 1000 estimated to be present.","Alta California (San Francisco), 3 April 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; Vigilance Committee,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,1,,,Carlos Esclava,PTH
7,1852,1852/04,California,Mokelumne Hill,"Mokelumne Hill, CA",38.30089,-120.70668,"April: On the 12th, a man named Flores was taken from officers and hanged for alleged murder.","San Francisco Herald, 3 May 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Legal,Lethal Violence; Seized Person(s); Extraction,1,,,Flores,PTH
